step,loss,step_reward,policy_loss,value_loss,entropy_loss,entropy
0,0.04189763218164444,0.5479999999999998,-0.0,0.14606477320194244,-0.104167141020298,1.3020893335342407
50,0.046391814947128296,0.6695019999999998,0.0,0.22002893686294556,-0.17363712191581726,2.170464038848877
100,,2.5420833333333315,,,,
150,,0.4217199999999998,,,,
200,,3.0726199999999992,,,,
250,,0.16549999999999992,,,,
300,,0.5329999999999997,,,,
350,,0.23299999999999982,,,,
400,-0.13243691623210907,0.4829999999999998,-0.0,0.012499634176492691,-0.14493654668331146,1.811706781387329
450,,2.578599999999998,,,,
500,0.009945657104253769,0.6677879999999998,-0.0,0.00994571577757597,-5.852137263673285e-08,7.315171615118743e-07
550,3.110102415084839,0.5029999999999999,-0.0,3.110102415084839,0.0,-0.0
600,,0.4899799999999998,,,,
650,3.6238462924957275,2.9467999999999988,-0.0,3.6238462924957275,0.0,-0.0
700,2.3051698207855225,2.9936999999999996,-0.0,2.306171178817749,-0.0010012793354690075,0.012515991926193237
750,,1.9454000000000025,,,,
800,,0.14800000000000002,,,,
850,0.005661621689796448,1.3850666666666664,0.0,0.1955939382314682,-0.18993231654167175,2.3741540908813477
900,,0.35222666666666647,,,,
950,,0.12300000000000011,,,,
1000,,0.6251333333333332,,,,
1050,,1.4319833333333334,,,,
1100,-0.22206749022006989,0.8285999999999998,0.0,0.016864540055394173,-0.2389320284128189,2.9866504669189453
1150,0.31634286046028137,1.6799840000000004,0.0,0.37165969610214233,-0.05531684681773186,0.6914606094360352
1200,-0.1591588705778122,1.1916399999999998,0.0,0.08036112785339355,-0.23951999843120575,2.99399995803833
1250,,0.578,,,,
1300,,0.10799999999999998,,,,
1350,,0.20300000000000007,,,,
1400,,0.0655,,,,
1450,,1.1338399999999995,,,,
1500,,0.49300000000000005,,,,
1550,,1.4533466666666663,,,,
1600,,0.8829599999999995,,,,
1650,-0.0667828842997551,0.9872199999999992,-0.0,0.030390063300728798,-0.09717294573783875,1.2146618366241455
1700,,0.8217999999999996,,,,
1750,,1.6179999999999992,,,,
1800,,1.0314399999999997,,,,
1850,,0.5480320000000001,,,,
1900,0.028733760118484497,0.20300000000000007,0.0,0.26833826303482056,-0.23960450291633606,2.995056390762329
1950,,0.25848666666666664,,,,
2000,,0.9779999999999998,,,,
2050,-0.174235999584198,0.0905,0.0,0.06534656137228012,-0.23958255350589752,2.994781970977783
2100,,0.568,,,,
2150,-0.20743027329444885,0.38800000000000007,0.0,0.03219158947467804,-0.2396218627691269,2.9952733516693115
2200,-0.16280671954154968,0.37300000000000005,-0.0,0.04740104451775551,-0.2102077603340149,2.6275970935821533
2250,-0.05471420660614967,1.027999999999999,0.0,0.05616587772965431,-0.11088008433580399,1.3860011100769043
2300,,0.3155,,,,
2350,,0.4680000000000001,,,,
2400,-0.1148291751742363,1.0456366666666659,0.0,0.124820776283741,-0.2396499514579773,2.995624542236328
2450,,0.17300000000000004,,,,
2500,,0.74206,,,,
2550,,0.168,,,,
2600,,1.5330000000000004,,,,
2650,,0.9304999999999988,,,,
2700,,0.9225349999999995,,,,
2750,,0.2780000000000001,,,,
2800,0.22542129456996918,1.424983333333333,0.0,0.39175620675086975,-0.16633491218090057,2.07918643951416
2850,-0.22260697185993195,0.32300000000000006,0.0,0.017038732767105103,-0.23964570462703705,2.9955713748931885
2900,,0.758999999999999,,,,
2950,-0.23512102663516998,0.29800000000000004,0.0,0.00452603492885828,-0.2396470606327057,2.9955883026123047
3000,,1.6856300000000002,,,,
3050,,2.317720000000001,,,,
3100,,0.3710300000000001,,,,
3150,-0.1491466760635376,0.2559600000000001,-0.0,0.025794221088290215,-0.17494089901447296,2.1867613792419434
3200,0.8109222650527954,1.8663600000000007,0.0,0.9694935083389282,-0.1585712432861328,1.9821405410766602
3250,0.24813205003738403,1.30802,-0.0,0.24813205003738403,0.0,-0.0
3300,-0.0759337842464447,0.09800000000000005,0.0,0.1612647920846939,-0.2371985763311386,2.964982271194458
3350,0.5778052806854248,1.7365999999999997,-0.0,0.6732689738273621,-0.09546366333961487,1.1932958364486694
3400,-0.16420264542102814,0.568,0.0,1.5339930541813374e-05,-0.1642179787158966,2.052724838256836
3450,,0.6413399999999999,,,,
3500,,1.2103833333333331,,,,
3550,0.07979170233011246,0.14300000000000007,-0.0,0.07979170233011246,0.0,-0.0
3600,,0.14800000000000005,,,,
3650,,1.282999999999999,,,,
3700,-0.19662927091121674,0.8562799999999994,0.0,0.04296676814556122,-0.23959603905677795,2.994950532913208
3750,-0.1417592465877533,0.618,0.0,0.04242279380559921,-0.1841820478439331,2.3022756576538086
3800,-0.11540782451629639,0.433,-0.0,0.032145146280527115,-0.1475529670715332,1.844412088394165
3850,,0.15800000000000006,,,,
3900,,0.49800000000000005,,,,
3950,-0.18273091316223145,0.3055,0.0,0.03906199336051941,-0.22179290652275085,2.772411346435547
4000,,0.11739800000000003,,,,
4050,,0.5783333333333334,,,,
4100,,0.20800000000000005,,,,
4150,-0.013425908982753754,0.40800000000000003,0.0,0.07445739209651947,-0.08788330107927322,1.098541259765625
4200,,1.743000000000001,,,,
