method,episode,step,time_h,base_cum,decayed_cum,penalty_cum,base_add,decayed_add,penalty_add
DQN-Guided,0,93,0.05166666666666655,2851,2851,0,0,0,0
DQN-Guided,0,94,0.0522222222222221,2851,2851,0,0,0,0
DQN-Guided,0,95,0.05277777777777765,2851,2851,0,0,0,0
DQN-Guided,0,96,0.053333333333333205,2914,2914,0,63,63,0
DQN-Guided,0,97,0.05388888888888876,2914,2914,0,0,0,0
DQN-Guided,0,98,0.05444444444444431,2914,2914,0,0,0,0
DQN-Guided,0,99,0.05499999999999986,2943,2943,0,29,29,0
DQN-Guided,0,100,0.055555555555555414,3029,3029,0,86,86,0
DQN-Guided,0,101,0.056111111111110966,3029,3029,0,0,0,0
DQN-Guided,0,102,0.05666666666666652,3029,3029,0,0,0,0
DQN-Guided,0,103,0.05722222222222207,3212,3212,0,183,183,0
DQN-Guided,0,104,0.05777777777777762,3212,3212,0,0,0,0
DQN-Guided,0,105,0.058333333333333175,3212,3212,0,0,0,0
DQN-Guided,0,106,0.05888888888888873,3266,3266,0,54,54,0
DQN-Guided,0,107,0.05944444444444428,3266,3266,0,0,0,0
DQN-Guided,0,108,0.05999999999999983,3266,3266,0,0,0,0
DQN-Guided,0,109,0.06055555555555538,3266,3266,0,0,0,0
DQN-Guided,0,110,0.061111111111110936,3369,3369,0,103,103,0
DQN-Guided,0,111,0.06166666666666649,3369,3369,0,0,0,0
DQN-Guided,0,112,0.06222222222222204,3369,3369,0,0,0,0
DQN-Guided,0,113,0.0627777777777776,3369,3369,0,0,0,0
DQN-Guided,0,114,0.06333333333333316,3395,3395,0,26,26,0
DQN-Guided,0,115,0.06388888888888872,3486,3486,0,91,91,0
DQN-Guided,0,116,0.06444444444444428,3486,3486,0,0,0,0
DQN-Guided,0,117,0.06499999999999984,3486,3486,0,0,0,0
DQN-Guided,0,118,0.0655555555555554,3486,3486,0,0,0,0
DQN-Guided,0,119,0.06611111111111095,3486,3486,0,0,0,0
DQN-Guided,0,120,0.06666666666666651,3486,3486,0,0,0,0
DQN-Guided,0,121,0.06722222222222207,3486,3486,0,0,0,0
DQN-Guided,0,122,0.06777777777777763,3548,3548,0,62,62,0
DQN-Guided,0,123,0.06833333333333319,3548,3548,0,0,0,0
DQN-Guided,0,124,0.06888888888888875,3653,3653,0,105,105,0
DQN-Guided,0,125,0.06944444444444431,3653,3653,0,0,0,0
DQN-Guided,0,126,0.06999999999999987,3676,3676,0,23,23,0
DQN-Guided,0,127,0.07055555555555543,3676,3676,0,0,0,0
DQN-Guided,0,128,0.07111111111111099,3842,3842,0,166,166,0
DQN-Guided,0,129,0.07166666666666655,3842,3842,0,0,0,0
DQN-Guided,0,130,0.0722222222222221,3842,3842,0,0,0,0
DQN-Guided,0,131,0.07277777777777766,3842,3842,0,0,0,0
DQN-Guided,0,132,0.07333333333333322,3842,3842,0,0,0,0
DQN-Guided,0,133,0.07388888888888878,3842,3842,0,0,0,0
DQN-Guided,0,134,0.07444444444444434,3933,3933,0,91,91,0
DQN-Guided,0,135,0.0749999999999999,3933,3933,0,0,0,0
DQN-Guided,0,136,0.07555555555555546,4031,4031,0,98,98,0
DQN-Guided,0,137,0.07611111111111102,4100,4100,0,69,69,0
DQN-Guided,0,138,0.07666666666666658,4100,4100,0,0,0,0
DQN-Guided,0,139,0.07722222222222214,4100,4100,0,0,0,0
DQN-Guided,0,140,0.0777777777777777,4100,4100,0,0,0,0
DQN-Guided,0,141,0.07833333333333325,4100,4100,0,0,0,0
DQN-Guided,0,142,0.07888888888888881,4100,4100,0,0,0,0
DQN-Guided,0,143,0.07944444444444437,4100,4100,0,0,0,0
DQN-Guided,0,144,0.07999999999999993,4100,4100,0,0,0,0
DQN-Guided,0,145,0.08055555555555549,4100,4100,0,0,0,0
DQN-Guided,0,146,0.08111111111111105,4100,4100,0,0,0,0
DQN-Guided,0,147,0.08166666666666661,4216,4216,0,116,116,0
DQN-Guided,0,148,0.08222222222222217,4216,4216,0,0,0,0
DQN-Guided,0,149,0.08277777777777773,4216,4216,0,0,0,0
DQN-Guided,0,150,0.08333333333333329,4216,4216,0,0,0,0
DQN-Guided,0,151,0.08388888888888885,4216,4216,0,0,0,0
DQN-Guided,0,152,0.0844444444444444,4216,4216,0,0,0,0
DQN-Guided,0,153,0.08499999999999996,4216,4216,0,0,0,0
DQN-Guided,0,154,0.08555555555555552,4241,4241,0,25,25,0
DQN-Guided,0,155,0.08611111111111108,4241,4241,0,0,0,0
DQN-Guided,0,156,0.08666666666666664,4319,4319,0,78,78,0
DQN-Guided,0,157,0.0872222222222222,4487,4487,0,168,168,0
DQN-Guided,0,158,0.08777777777777776,4718,4718,0,231,231,0
DQN-Guided,0,159,0.08833333333333332,4793,4793,0,75,75,0
DQN-Guided,0,160,0.08888888888888888,4793,4793,0,0,0,0
DQN-Guided,0,161,0.08944444444444444,4793,4793,0,0,0,0
DQN-Guided,0,162,0.09,4793,4793,0,0,0,0
DQN-Guided,0,163,0.09055555555555556,4793,4793,0,0,0,0
DQN-Guided,0,164,0.09111111111111111,4793,4793,0,0,0,0
DQN-Guided,0,165,0.09166666666666667,4793,4793,0,0,0,0
DQN-Guided,0,166,0.09222222222222223,4793,4793,0,0,0,0
DQN-Guided,0,167,0.09277777777777779,4843,4843,0,50,50,0
DQN-Guided,0,168,0.09333333333333335,4931,4931,0,88,88,0
DQN-Guided,0,169,0.09388888888888891,5063,5063,0,132,132,0
DQN-Guided,0,170,0.09444444444444447,5063,5063,0,0,0,0
DQN-Guided,0,171,0.09500000000000003,5063,5063,0,0,0,0
DQN-Guided,0,172,0.09555555555555559,5146,5146,0,83,83,0
DQN-Guided,0,173,0.09611111111111115,5146,5146,0,0,0,0
DQN-Guided,0,174,0.0966666666666667,5232,5232,0,86,86,0
DQN-Guided,0,175,0.09722222222222227,5232,5232,0,0,0,0
DQN-Guided,0,176,0.09777777777777782,5259,5259,0,27,27,0
DQN-Guided,0,177,0.09833333333333338,5259,5259,0,0,0,0
DQN-Guided,0,178,0.09888888888888894,5259,5259,0,0,0,0
DQN-Guided,0,179,0.0994444444444445,5325,5325,0,66,66,0
DQN-Guided,0,180,0.10000000000000006,5325,5325,0,0,0,0
DQN-Guided,0,181,0.10055555555555562,5325,5325,0,0,0,0
DQN-Guided,0,182,0.10111111111111118,5325,5325,0,0,0,0
DQN-Guided,0,183,0.10166666666666674,5325,5325,0,0,0,0
DQN-Guided,0,184,0.1022222222222223,5325,5325,0,0,0,0
DQN-Guided,0,185,0.10277777777777786,5325,5325,0,0,0,0
DQN-Guided,0,186,0.10333333333333342,5325,5325,0,0,0,0
DQN-Guided,0,187,0.10388888888888897,5325,5325,0,0,0,0
DQN-Guided,0,188,0.10444444444444453,5325,5325,0,0,0,0
DQN-Guided,0,189,0.1050000000000001,5325,5325,0,0,0,0
DQN-Guided,0,190,0.10555555555555565,5350,5350,0,25,25,0
DQN-Guided,0,191,0.10611111111111121,5611,5611,0,261,261,0
DQN-Guided,0,192,0.10666666666666677,5711,5711,0,100,100,0
DQN-Guided,0,193,0.10722222222222233,5711,5711,0,0,0,0
DQN-Guided,0,194,0.10777777777777789,5711,5711,0,0,0,0
DQN-Guided,0,195,0.10833333333333345,5711,5711,0,0,0,0
DQN-Guided,0,196,0.10888888888888901,5819,5819,0,108,108,0
DQN-Guided,0,197,0.10944444444444457,5819,5819,0,0,0,0
DQN-Guided,0,198,0.11000000000000013,5845,5845,0,26,26,0
DQN-Guided,0,199,0.11055555555555568,5845,5845,0,0,0,0
DQN-Guided,0,200,0.11111111111111124,5845,5845,0,0,0,0
DQN-Guided,0,201,0.1116666666666668,5845,5845,0,0,0,0
DQN-Guided,0,202,0.11222222222222236,5845,5845,0,0,0,0
DQN-Guided,0,203,0.11277777777777792,5845,5845,0,0,0,0
DQN-Guided,0,204,0.11333333333333348,5872,5872,0,27,27,0
DQN-Guided,0,205,0.11388888888888904,5872,5872,0,0,0,0
DQN-Guided,0,206,0.1144444444444446,5872,5872,0,0,0,0
DQN-Guided,0,207,0.11500000000000016,5872,5872,0,0,0,0
DQN-Guided,0,208,0.11555555555555572,5872,5872,0,0,0,0
DQN-Guided,0,209,0.11611111111111128,5872,5872,0,0,0,0
DQN-Guided,0,210,0.11666666666666684,5927,5927,0,55,55,0
DQN-Guided,0,211,0.1172222222222224,5927,5927,0,0,0,0
DQN-Guided,0,212,0.11777777777777795,5927,5927,0,0,0,0
DQN-Guided,0,213,0.11833333333333351,5927,5927,0,0,0,0
DQN-Guided,0,214,0.11888888888888907,5987,5987,0,60,60,0
DQN-Guided,0,215,0.11944444444444463,5987,5987,0,0,0,0
DQN-Guided,0,216,0.12000000000000019,5987,5987,0,0,0,0
DQN-Guided,0,217,0.12055555555555575,5987,5987,0,0,0,0
DQN-Guided,0,218,0.12111111111111131,6086,6086,0,99,99,0
DQN-Guided,0,219,0.12166666666666687,6086,6086,0,0,0,0
DQN-Guided,0,220,0.12222222222222243,6134,6134,0,48,48,0
DQN-Guided,0,221,0.12277777777777799,6134,6134,0,0,0,0
