step 6000/20000 mL=nan wL=-0.653 rew=-1.27
step 6500/20000 mL=nan wL=-1.517 rew=-1.27
step 7000/20000 mL=nan wL=1.135 rew=-1.31
step 7500/20000 mL=nan wL=0.260 rew=-1.25
step 8000/20000 mL=-0.016 wL=3.217 rew=-1.21
step 8500/20000 mL=nan wL=1.183 rew=-1.25
step 9000/20000 mL=nan wL=-0.047 rew=-1.50
step 9500/20000 mL=nan wL=-0.038 rew=-1.44
step 10000/20000 mL=nan wL=-1.048 rew=-1.23
step 10500/20000 mL=nan wL=-1.542 rew=-1.32
step 11000/20000 mL=nan wL=1.674 rew=-1.16
step 11500/20000 mL=nan wL=-0.761 rew=-1.24
step 12000/20000 mL=nan wL=2.023 rew=-1.24
step 12500/20000 mL=nan wL=1.456 rew=-1.23
step 13000/20000 mL=nan wL=1.998 rew=-1.09
step 13500/20000 mL=nan wL=-0.852 rew=-1.28
step 14000/20000 mL=-0.025 wL=-1.893 rew=-1.26
step 14500/20000 mL=nan wL=0.829 rew=-1.25
step 15000/20000 mL=nan wL=0.147 rew=-1.28
step 15500/20000 mL=nan wL=-0.824 rew=-1.30
step 16000/20000 mL=nan wL=0.685 rew=-1.27
step 16500/20000 mL=nan wL=3.386 rew=-1.19
step 17000/20000 mL=nan wL=-1.029 rew=-1.37
step 17500/20000 mL=nan wL=-0.957 rew=-1.32
step 18000/20000 mL=nan wL=1.682 rew=-1.21
step 18500/20000 mL=nan wL=0.462 rew=-1.24
step 19000/20000 mL=nan wL=-0.442 rew=-1.27
step 19500/20000 mL=nan wL=1.185 rew=-1.35
