step,manager_loss,worker_loss,step_reward,policy_loss,value_loss,entropy_loss,entropy
0,0.08246578276157379,-0.44526180624961853,-0.31062668561935425,-0.0,0.10363338887691498,-0.021167606115341187,2.116760730743408
100,,-3.3177735805511475,-0.39500001072883606,,,,
200,,2.512233018875122,-0.2150000035762787,,,,
300,,0.30756470561027527,-0.17499999701976776,,,,
400,,-1.9670203924179077,-0.3449999988079071,,,,
500,,0.017550945281982422,-0.22499999403953552,,,,
600,,-0.3265755772590637,-0.2849999964237213,,,,
700,,-2.237184524536133,-0.41999998688697815,,,,
800,,-1.9258217811584473,-0.36500000953674316,,,,
900,,-1.906062126159668,-0.550000011920929,,,,
1000,,-0.3089829087257385,-0.5399999618530273,,,,
1100,,-1.1987309455871582,-0.5449999570846558,,,,
1200,,-1.6325331926345825,-0.9135099649429321,,,,
1300,,0.12993541359901428,-0.9950000047683716,,,,
1400,,1.4586224555969238,-1.1950000524520874,,,,
1500,,0.39539557695388794,-1.2599999904632568,,,,
1600,,0.14978644251823425,-1.3199999332427979,,,,
1700,,-0.22364096343517303,-1.2699999809265137,,,,
1800,,15545.1494140625,-1.2799999713897705,,,,
1900,,5352.00390625,-1.1899999380111694,,,,
2000,,696.0366821289062,-1.2949999570846558,,,,
2100,,4.292788028717041,-1.1299999952316284,,,,
2200,,-1.3697729110717773,-1.3300001621246338,,,,
2300,0.01885170303285122,1.7430344820022583,-1.1699999570846558,-0.0,0.04506291449069977,-0.02621121145784855,2.6211211681365967
2400,,1.21650230884552,-1.2100000381469727,,,,
2500,,0.803922176361084,-1.184999942779541,,,,
2600,,2.0398919582366943,-1.2599999904632568,,,,
2700,,1.136343002319336,-1.2649999856948853,,,,
2800,,-0.33598750829696655,-1.1949999332427979,,,,
2900,,-2.0991404056549072,-1.380000114440918,,,,
3000,,-2.2101492881774902,-1.3700000047683716,,,,
3100,,0.1832452267408371,-1.1299998760223389,,,,
3200,,-1.8142366409301758,-1.3599998950958252,,,,
3300,,0.24188214540481567,-1.3100000619888306,,,,
3400,,2.3362021446228027,-1.1399999856948853,,,,
3500,,-0.1941637396812439,-1.244999885559082,,,,
3600,,-0.29609566926956177,-1.3450000286102295,,,,
3700,,1.7192529439926147,-1.2699998617172241,,,,
3800,,0.9464278221130371,-1.3250000476837158,,,,
