step,loss,step_reward,policy_loss,value_loss,entropy_loss,entropy
0,-0.008052930235862732,-0.11000000000000001,1.5258944330298618e-08,0.012421984225511551,-0.020474929362535477,2.0474929809570312
100,,0.048813333333333264,,,,
200,0.08829483389854431,-0.3849999999999999,-0.0,0.116966612637043,-0.02867177687585354,2.867177724838257
300,,-0.33499999999999996,,,,
400,,-0.3399999999999999,,,,
500,-0.025031061843037605,-0.31213333333333326,-0.0,0.003810522612184286,-0.02884158492088318,2.8841586112976074
600,,-0.615,,,,
700,,-0.5363133333333335,,,,
800,,-0.5857340000000002,,,,
900,,-0.6579399999999997,,,,
1000,,-0.6035283333333333,,,,
1100,,-0.7862916666666667,,,,
1200,,-1.1650000000000003,,,,
1300,0.030322222039103508,-1.2500000000000004,-0.0,0.06027708202600479,-0.029954859986901283,2.99548602104187
1400,0.2934423089027405,-1.4663583333333332,-0.0,0.322685569524765,-0.029243260622024536,2.924326181411743
1500,,-1.1749999999999998,,,,
1600,-0.02896353229880333,-1.4550000000000003,-0.0,0.00018318393267691135,-0.029146715998649597,2.9146716594696045
1700,0.27661770582199097,-1.4652720000000001,-0.0,0.3054984211921692,-0.028880709782242775,2.888071060180664
1800,,-1.2950000000000004,,,,
1900,-0.010498754680156708,-1.31156,-0.0,0.017192132771015167,-0.027690887451171875,2.7690887451171875
2000,,-1.4418280000000003,,,,
2100,-0.027051066979765892,-1.4500000000000004,-0.0,0.002897992730140686,-0.029949059709906578,2.994905948638916
2200,,-1.3655666666666668,,,,
2300,-0.013070417568087578,-1.2095993333333335,-0.0,0.016841810196638107,-0.029912227764725685,2.991222858428955
2400,,-1.2949000000000002,,,,
2500,,-1.309676,,,,
2600,,-1.4067913333333335,,,,
2700,-0.0038884636014699936,-1.2414640000000001,-0.0,0.02605237066745758,-0.029940834268927574,2.9940834045410156
2800,,-1.3728600000000004,,,,
2900,,-1.2064800000000004,,,,
3000,-0.0013038534671068192,-1.2618421666666668,-0.0,0.027308449149131775,-0.028612302616238594,2.8612303733825684
3100,-0.015273322351276875,-1.32,-0.0,0.014671088196337223,-0.029944410547614098,2.994441032409668
3200,,-1.355,,,,
