step,epsilon,loss,step_reward,avg_reward_ema,q_up,q_down,q_left,q_right,q_idle,q_pick,q_drop
13000,0.5459236505801979,0.015546059235930443,-5.25,-5.256446373729488,-1.0625629425048828,-1.0660207271575928,-1.061341643333435,-1.0439062118530273,-1.07761549949646,-0.6645021438598633,-3.7336058616638184
14000,0.5217371687376948,0.009274083189666271,-5.05,-5.394103650857326,-1.066650629043579,-1.0742623805999756,-1.0743755102157593,-1.0881669521331787,-1.1057376861572266,-0.5443912744522095,-4.372340679168701
15000,0.4987302755339536,0.011632024310529232,-4.792750000000001,-5.614782194172543,-1.02972412109375,-1.0519187450408936,-1.0280036926269531,-1.0720818042755127,-1.0990819931030273,-0.5723121762275696,-3.876260757446289
16000,0.4768454417522095,0.01565181463956833,-5.25,-5.355137063973839,-1.092651605606079,-1.075406789779663,-1.088795781135559,-1.1440818309783936,-1.0941946506500244,-0.7213262915611267,-3.656853199005127
17000,0.45602794390870727,0.006418002303689718,-5.25,-5.384648920923226,-1.0614111423492432,-1.0548405647277832,-1.050360918045044,-1.0585370063781738,-1.0548444986343384,-0.6640735268592834,-3.568887710571289
18000,0.4362257274154878,0.0032547928858548403,-5.25,-5.26004178380408,-1.0550107955932617,-1.0544440746307373,-1.0455268621444702,-1.05295729637146,-1.0520169734954834,-0.7344028949737549,-2.7934436798095703
19000,0.4173892764168041,0.006258866749703884,-5.25,-5.294502679929803,-1.0514097213745117,-1.059416651725769,-1.0553910732269287,-1.0381784439086914,-1.0521800518035889,-0.7053219079971313,-3.0575335025787354
20000,0.3994714899736903,0.010042030364274979,-5.25,-5.8346649302246405,-1.0619642734527588,-1.0756340026855469,-1.0785133838653564,-1.0673414468765259,-1.0779672861099243,-0.6834110021591187,-2.995105266571045
21000,0.38242756428708047,0.011645877733826637,-5.25,-5.6208817378892695,-1.074381947517395,-1.0584392547607422,-1.0718148946762085,-1.0912901163101196,-1.0655713081359863,-0.6510883569717407,-3.033588409423828
22000,0.3662148806649737,0.007553393486887217,-5.25,-5.545581017645806,-1.0819618701934814,-1.059942364692688,-1.0871344804763794,-1.0646743774414062,-1.0708335638046265,-0.7052779197692871,-2.9115116596221924
23000,0.35079289895350485,0.004977884702384472,-5.25,-5.384525774561147,-1.086077332496643,-1.0317184925079346,-1.0637283325195312,-1.0819389820098877,-1.049071192741394,-0.6911019086837769,-2.5795769691467285
24000,0.33612305616544386,0.0038012098520994186,-5.25,-5.327681954793164,-1.0608255863189697,-1.1126800775527954,-1.0846658945083618,-1.0515333414077759,-1.0548458099365234,-0.7014845609664917,-2.6615567207336426
25000,0.3221686700526406,0.002689685206860304,-5.25,-5.263105210456252,-1.0508226156234741,-1.0587337017059326,-1.0668754577636719,-1.0780565738677979,-1.0568370819091797,-0.7324913740158081,-1.7270288467407227
26000,0.3088948473812981,0.002061754697933793,-5.25,-5.286178980118485,-1.070491075515747,-1.0516411066055298,-1.0606213808059692,-1.0532866716384888,-1.058011770248413,-0.7365814447402954,-1.4317599534988403
27000,0.29626839668071236,0.003904589219018817,-5.25,-5.556452860082189,-1.099191427230835,-1.104817509651184,-1.166762113571167,-1.1019986867904663,-1.0994889736175537,-0.7589712738990784,-2.0201234817504883
28000,0.28425774524730757,0.005625746212899685,-5.25,-5.304367648986034,-1.0512378215789795,-1.0573400259017944,-1.0709929466247559,-1.063096046447754,-1.0454906225204468,-0.7484318614006042,-1.9515390396118164
29000,0.27283286019643127,0.0027479641139507294,-5.25,-5.375378152315872,-1.1107406616210938,-1.0679690837860107,-1.332375168800354,-1.230517864227295,-1.1014562845230103,-0.778174102306366,-1.9236829280853271
30000,0.2619651733644993,0.0017073247581720352,-5.25,-5.286000208478268,-1.05422043800354,-1.053331732749939,-1.0562654733657837,-1.0543084144592285,-1.053625464439392,-0.7183891534805298,-2.2536675930023193
31000,0.25162750987370675,0.0013799293665215373,-5.25,-5.327472668859715,-1.0572818517684937,-1.0594087839126587,-1.0622856616973877,-1.0648226737976074,-1.0540598630905151,-0.7448982000350952,-2.044936418533325
32000,0.24179402018067814,0.0020286927465349436,-5.25,-5.25098610252328,-1.0500602722167969,-1.0528690814971924,-1.1045376062393188,-1.0577106475830078,-1.0403646230697632,-0.7446142435073853,-1.5409224033355713
33000,0.23244011543914478,0.0014153282390907407,-5.25,-5.268598973578916,-1.0696542263031006,-1.0677855014801025,-1.0676344633102417,-1.1256393194198608,-1.076850414276123,-0.7593215703964233,-1.5865023136138916
34000,0.2235424060150215,0.001504154410213232,-5.25,-5.2541820491505336,-1.094760537147522,-1.0769301652908325,-1.0701103210449219,-1.0537933111190796,-1.0749038457870483,-0.744981050491333,-1.8159611225128174
35000,0.21507864300013818,0.0014184003230184317,-6.25,-5.3192246251455,-1.1179685592651367,-1.1987693309783936,-1.2594935894012451,-1.1511924266815186,-1.115554928779602,-0.7848020195960999,-1.4400521516799927
