method,episode,step,time_h,base_cum,decayed_cum,penalty_cum,base_add,decayed_add,penalty_add
Softmax-AC,1,1,0.0005555555555555556,0,0,0,0,0,0
Softmax-AC,1,2,0.0011111111111111111,0,0,0,0,0,0
Softmax-AC,1,3,0.0016666666666666666,0,0,0,0,0,0
Softmax-AC,1,4,0.0022222222222222222,0,0,0,0,0,0
Softmax-AC,1,5,0.002777777777777778,0,0,0,0,0,0
Softmax-AC,1,6,0.0033333333333333335,0,0,0,0,0,0
Softmax-AC,1,7,0.003888888888888889,0,0,0,0,0,0
Softmax-AC,1,8,0.0044444444444444444,0,0,0,0,0,0
Softmax-AC,1,9,0.005,0,0,0,0,0,0
Softmax-AC,1,10,0.005555555555555556,0,0,0,0,0,0
Softmax-AC,1,11,0.006111111111111111,0,0,0,0,0,0
Softmax-AC,1,12,0.006666666666666667,0,0,0,0,0,0
Softmax-AC,1,13,0.007222222222222223,0,0,0,0,0,0
Softmax-AC,1,14,0.007777777777777778,0,0,0,0,0,0
Softmax-AC,1,15,0.008333333333333333,0,0,0,0,0,0
Softmax-AC,1,16,0.008888888888888889,0,0,0,0,0,0
Softmax-AC,1,17,0.009444444444444445,0,0,0,0,0,0
Softmax-AC,1,18,0.01,0,0,0,0,0,0
Softmax-AC,1,19,0.010555555555555556,0,0,0,0,0,0
Softmax-AC,1,20,0.011111111111111112,0,0,0,0,0,0
Softmax-AC,1,21,0.011666666666666667,0,0,0,0,0,0
Softmax-AC,1,22,0.012222222222222223,0,0,0,0,0,0
Softmax-AC,1,23,0.012777777777777779,0,0,0,0,0,0
Softmax-AC,1,24,0.013333333333333334,0,0,0,0,0,0
Softmax-AC,1,25,0.01388888888888889,0,0,0,0,0,0
Softmax-AC,1,26,0.014444444444444446,0,0,0,0,0,0
Softmax-AC,1,27,0.015000000000000001,0,0,0,0,0,0
Softmax-AC,1,28,0.015555555555555557,0,0,0,0,0,0
Softmax-AC,1,29,0.01611111111111111,0,0,0,0,0,0
Softmax-AC,1,30,0.016666666666666666,0,0,0,0,0,0
Softmax-AC,1,31,0.017222222222222222,0,0,0,0,0,0
Softmax-AC,1,32,0.017777777777777778,0,0,0,0,0,0
Softmax-AC,1,33,0.018333333333333333,0,0,0,0,0,0
Softmax-AC,1,34,0.01888888888888889,0,0,0,0,0,0
Softmax-AC,1,35,0.019444444444444445,0,0,0,0,0,0
Softmax-AC,1,36,0.02,0,0,0,0,0,0
Softmax-AC,1,37,0.020555555555555556,0,0,0,0,0,0
Softmax-AC,1,38,0.021111111111111112,0,0,0,0,0,0
Softmax-AC,1,39,0.021666666666666667,0,0,0,0,0,0
Softmax-AC,1,40,0.022222222222222223,0,0,0,0,0,0
Softmax-AC,1,41,0.02277777777777778,0,0,0,0,0,0
Softmax-AC,1,42,0.023333333333333334,0,0,0,0,0,0
Softmax-AC,1,43,0.02388888888888889,0,0,0,0,0,0
Softmax-AC,1,44,0.024444444444444446,0,0,0,0,0,0
Softmax-AC,1,45,0.025,0,0,0,0,0,0
Softmax-AC,1,46,0.025555555555555557,0,0,0,0,0,0
Softmax-AC,1,47,0.026111111111111113,0,0,0,0,0,0
Softmax-AC,1,48,0.02666666666666667,0,0,0,0,0,0
Softmax-AC,1,49,0.027222222222222224,0,0,0,0,0,0
Softmax-AC,1,50,0.02777777777777778,0,0,0,0,0,0
Softmax-AC,1,51,0.028333333333333335,0,0,0,0,0,0
Softmax-AC,1,52,0.02888888888888889,0,0,0,0,0,0
Softmax-AC,1,53,0.029444444444444447,0,0,0,0,0,0
Softmax-AC,1,54,0.030000000000000002,0,0,0,0,0,0
Softmax-AC,1,55,0.030555555555555558,0,0,0,0,0,0
Softmax-AC,1,56,0.031111111111111114,0,0,0,0,0,0
Softmax-AC,1,57,0.03166666666666667,0,0,0,0,0,0
Softmax-AC,1,58,0.03222222222222222,0,0,0,0,0,0
Softmax-AC,1,59,0.032777777777777774,0,0,0,0,0,0
Softmax-AC,1,60,0.033333333333333326,0,0,0,0,0,0
Softmax-AC,1,61,0.03388888888888888,0,0,0,0,0,0
Softmax-AC,1,62,0.03444444444444443,0,0,0,0,0,0
Softmax-AC,1,63,0.03499999999999998,0,0,0,0,0,0
Softmax-AC,1,64,0.035555555555555535,0,0,0,0,0,0
Softmax-AC,1,65,0.03611111111111109,0,0,0,0,0,0
Softmax-AC,1,66,0.03666666666666664,0,0,0,0,0,0
Softmax-AC,1,67,0.03722222222222219,0,0,0,0,0,0
Softmax-AC,1,68,0.037777777777777743,0,0,0,0,0,0
Softmax-AC,1,69,0.038333333333333296,0,0,0,0,0,0
Softmax-AC,1,70,0.03888888888888885,0,0,0,0,0,0
Softmax-AC,1,71,0.0394444444444444,0,0,0,0,0,0
Softmax-AC,1,72,0.03999999999999995,0,0,0,0,0,0
Softmax-AC,1,73,0.040555555555555504,0,0,0,0,0,0
Softmax-AC,1,74,0.04111111111111106,0,0,0,0,0,0
Softmax-AC,1,75,0.04166666666666661,0,0,0,0,0,0
Softmax-AC,1,76,0.04222222222222216,0,0,0,0,0,0
Softmax-AC,1,77,0.04277777777777771,0,0,0,0,0,0
Softmax-AC,1,78,0.043333333333333265,0,0,0,0,0,0
Softmax-AC,1,79,0.04388888888888882,0,0,0,0,0,0
Softmax-AC,1,80,0.04444444444444437,0,0,0,0,0,0
Softmax-AC,1,81,0.04499999999999992,0,0,0,0,0,0
Softmax-AC,1,82,0.045555555555555474,0,0,0,0,0,0
Softmax-AC,1,83,0.046111111111111026,0,0,0,0,0,0
Softmax-AC,1,84,0.04666666666666658,0,0,0,0,0,0
Softmax-AC,1,85,0.04722222222222213,0,0,0,0,0,0
Softmax-AC,1,86,0.04777777777777768,0,0,0,0,0,0
Softmax-AC,1,87,0.048333333333333235,0,0,0,0,0,0
Softmax-AC,1,88,0.04888888888888879,0,0,0,0,0,0
Softmax-AC,1,89,0.04944444444444434,0,0,0,0,0,0
Softmax-AC,1,90,0.04999999999999989,0,0,0,0,0,0
Softmax-AC,1,91,0.050555555555555444,0,0,0,0,0,0
Softmax-AC,1,92,0.051111111111110996,0,0,0,0,0,0
Softmax-AC,1,93,0.05166666666666655,0,0,0,0,0,0
Softmax-AC,1,94,0.0522222222222221,0,0,0,0,0,0
Softmax-AC,1,95,0.05277777777777765,0,0,0,0,0,0
Softmax-AC,1,96,0.053333333333333205,0,0,0,0,0,0
Softmax-AC,1,97,0.05388888888888876,0,0,0,0,0,0
Softmax-AC,1,98,0.05444444444444431,0,0,0,0,0,0
Softmax-AC,1,99,0.05499999999999986,0,0,0,0,0,0
Softmax-AC,1,100,0.055555555555555414,0,0,0,0,0,0
Softmax-AC,1,101,0.056111111111110966,0,0,0,0,0,0
