step,epsilon,loss,step_reward,avg_reward_ema,q_up,q_down,q_left,q_right,q_idle,q_pick,q_drop
29000,0.27283286019643127,0.003002154640853405,-5.25,-5.263696113307915,-1.0758233070373535,-1.0782663822174072,-1.081256628036499,-1.0639948844909668,-1.063478708267212,-0.7071427702903748,-0.42929497361183167
30000,0.2619651733644993,0.002914613578468561,-5.25,-5.4182501781617916,-1.0605703592300415,-1.0654946565628052,-1.0637139081954956,-1.0571691989898682,-1.0673288106918335,-0.6657131910324097,-0.5195168256759644
31000,0.25162750987370675,0.004005303140729666,-5.25,-5.559375111700553,-1.2274562120437622,-1.1423460245132446,-1.1303461790084839,-1.223372220993042,-1.1120681762695312,-0.7583480477333069,-0.49003085494041443
32000,0.24179402018067814,0.002689091255888343,-5.25,-5.261328466275865,-1.0447298288345337,-1.037180781364441,-1.042645812034607,-1.0431009531021118,-1.0476024150848389,-0.7410763502120972,-0.7326274514198303
33000,0.23244011543914478,0.0020165841560810804,-5.25,-5.2877484065501745,-1.0389914512634277,-1.0465500354766846,-1.063015341758728,-1.0530391931533813,-1.0341049432754517,-0.75062495470047,-0.6677170991897583
34000,0.2235424060150215,0.0015465805772691965,-5.25,-5.251125360383047,-1.048699975013733,-1.0437594652175903,-1.0591630935668945,-1.049399971961975,-1.04685378074646,-0.7540371417999268,-0.7382467985153198
35000,0.21507864300013818,0.0014695343561470509,-5.25,-5.298484159844921,-1.0580055713653564,-1.1562007665634155,-1.0594555139541626,-1.099735975265503,-1.052034854888916,-0.7761942148208618,-0.7056187987327576
36000,0.20702766257838023,0.0022597606293857098,-5.25,-5.280218820909271,-1.176440954208374,-1.1031938791275024,-1.0778286457061768,-1.0823941230773926,-1.0610944032669067,-0.8122450113296509,-0.7367027997970581
37000,0.199369333105125,0.003505762666463852,-5.25,-5.319566854369242,-1.0526037216186523,-1.0474205017089844,-1.0680818557739258,-1.115351915359497,-1.044499158859253,-0.783619225025177,-0.7502425312995911
38000,0.1920845047676435,0.0033444231376051903,-5.25,-5.36247748576806,-1.0609453916549683,-1.0638240575790405,-1.1694660186767578,-1.1842435598373413,-1.0447068214416504,-0.8058940768241882,-0.7642307877540588
